NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
dark pink,#cb416b,203,65,107,0.0%,67.98%,47.29%,20.39%,,,
white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
mediumaquamarine,#66cdaa,102,205,170,50.24%,0.0%,17.07%,19.61%,,,
powderblue,#b0e0e6,176,224,230,23.48%,2.61%,0.0%,9.8%,,,
faded pink,#de9dac,222,157,172,0.0%,29.28%,22.52%,12.94%,,,
