,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,lesbian_wlw,tomato red,#ec2d01,236,45,1,0.0%,80.93%,99.58%,7.45%,,,
1,lesbian_wlw,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
2,lesbian_wlw,deep magenta,#a0025c,160,2,92,0.0%,98.75%,42.5%,37.25%,,,
3,lesbian_wlw,pastel orange,#ff964f,255,150,79,0.0%,41.18%,69.02%,0.0%,,,
4,lesbian_wlw,pale magenta,#d767ad,215,103,173,0.0%,52.09%,19.53%,15.69%,,,
5,lesbian_wlw,sandybrown,#f4a460,244,164,96,0.0%,32.79%,60.66%,4.31%,,,
6,lesbian_wlw,very light pink,#fff4f2,255,244,242,0.0%,4.31%,5.1%,0.0%,,,
