,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,twospirit,red,#e50000,229,0,0,0.0%,100.0%,100.0%,10.2%,,,
1,twospirit,purple,#800080,128,0,128,0.0%,100.0%,0.0%,49.8%,,,
2,twospirit,electric blue,#0652ff,6,82,255,97.65%,67.84%,0.0%,0.0%,,,
3,twospirit,darkorange,#ff8c00,255,140,0,0.0%,45.1%,100.0%,0.0%,,,
4,twospirit,dandelion,#fedf08,254,223,8,0.0%,12.2%,96.85%,0.39%,,,
5,twospirit,emerald green,#028f1e,2,143,30,98.6%,0.0%,79.02%,43.92%,,,
6,twospirit,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
7,twospirit,black,#000000,0,0,0,0%,0%,0%,100%,,,
