,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,intersex,sunflower yellow,#ffda03,255,218,3,0.0%,14.51%,98.82%,0.0%,,,
1,intersex,indigo,#4b0082,75,0,130,42.31%,100.0%,0.0%,49.02%,,,
