,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,butch,dark gray blue,#29465b,41,70,91,54.95%,23.08%,0.0%,64.31%,,,
1,butch,light indigo,#6d5acf,109,90,207,47.34%,56.52%,0.0%,18.82%,,,
2,butch,bluey gray,#89a0b0,137,160,176,22.16%,9.09%,0.0%,30.98%,,,
3,butch,indigo,#4b0082,75,0,130,42.31%,100.0%,0.0%,49.02%,,,
4,butch,grayish blue,#5e819d,94,129,157,40.13%,17.83%,0.0%,38.43%,,,
5,butch,linen,#faf0e6,250,240,230,0.0%,4.0%,8.0%,1.96%,,,
6,butch,lightsteelblue,#b0c4de,176,196,222,20.72%,11.71%,0.0%,12.94%,,,
