,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,androphilia,black,#000000,0,0,0,0%,0%,0%,100%,,,
1,androphilia,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
2,androphilia,green,#008000,0,128,0,100.0%,0.0%,100.0%,49.8%,,,
3,androphilia,silver,#c0c0c0,192,192,192,0.0%,0.0%,0.0%,24.71%,,,
