,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,nonbinary,black,#000000,0,0,0,0%,0%,0%,100%,,,
1,nonbinary,sunshine yellow,#fffd37,255,253,55,0.0%,0.78%,78.43%,0.0%,,,
2,nonbinary,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
3,nonbinary,lightish purple,#a552e6,165,82,230,28.26%,64.35%,0.0%,9.8%,,,
