,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,lipstick-femme,dark coral,#cf524e,207,82,78,0.0%,60.39%,62.32%,18.82%,,,
1,lipstick-femme,brick red,#8f1402,143,20,2,0.0%,86.01%,98.6%,43.92%,,,
2,lipstick-femme,deep magenta,#a0025c,160,2,92,0.0%,98.75%,42.5%,37.25%,,,
3,lipstick-femme,plum,#dda0dd,221,160,221,0.0%,27.6%,0.0%,13.33%,,,
4,lipstick-femme,linen,#faf0e6,250,240,230,0.0%,4.0%,8.0%,1.96%,,,
5,lipstick-femme,ugly purple,#a442a0,164,66,160,0.0%,59.76%,2.44%,35.69%,,,
6,lipstick-femme,purplish pink,#ce5dae,206,93,174,0.0%,54.85%,15.53%,19.22%,,,
7,lipstick-femme,watermelon,#fd4659,253,70,89,0.0%,72.33%,64.82%,0.78%,,,
