,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,mlm,blue green,#137e6d,19,126,109,84.92%,0.0%,13.49%,50.59%,,,
1,mlm,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
2,mlm,indigo,#380282,56,2,130,56.92%,98.46%,0.0%,49.02%,,,
3,mlm,light teal,#90e4c1,144,228,193,36.84%,0.0%,15.35%,10.59%,,,
4,mlm,sky blue,#75bbfd,117,187,253,53.75%,26.09%,0.0%,0.78%,,,
