,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,aromantic,black,#000000,0,0,0,0%,0%,0%,100%,,,
1,aromantic,darkgrey,#a9a9a9,169,169,169,0.0%,0.0%,0.0%,33.73%,,,
2,aromantic,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
3,aromantic,medium green,#39ad48,57,173,72,67.05%,0.0%,58.38%,32.16%,,,
4,aromantic,pale olive green,#b1d27b,177,210,123,15.71%,0.0%,41.43%,17.65%,,,
