,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,lithromantic,darkgrey,#a9a9a9,169,169,169,0.0%,0.0%,0.0%,33.73%,,,
1,lithromantic,turtle green,#75b84f,117,184,79,36.41%,0.0%,57.07%,27.84%,,,
2,lithromantic,sun yellow,#ffdf22,255,223,34,0.0%,12.55%,86.67%,0.0%,,,
