,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,bigender,thistle,#d8bfd8,216,191,216,0.0%,11.57%,0.0%,15.29%,,,
1,bigender,muted pink,#d1768f,209,118,143,0.0%,43.54%,31.58%,18.04%,,,
2,bigender,soft pink,#fdb0c0,253,176,192,0.0%,30.43%,24.11%,0.78%,,,
3,bigender,skyblue,#87ceeb,135,206,235,42.55%,12.34%,0.0%,7.84%,,,
4,bigender,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
5,bigender,faded blue,#658cbb,101,140,187,45.99%,25.13%,0.0%,26.67%,,,
6,bigender,plum,#dda0dd,221,160,221,0.0%,27.6%,0.0%,13.33%,,,
7,bigender,light gray blue,#9dbcd4,157,188,212,25.94%,11.32%,0.0%,16.86%,,,
