,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,androgynous,gray,#929591,146,149,145,2.01%,0.0%,2.68%,41.57%,,,
1,androgynous,dark periwinkle,#665fd1,102,95,209,51.2%,54.55%,0.0%,18.04%,,,
2,androgynous,orchid,#c875c4,200,117,196,0.0%,41.5%,2.0%,21.57%,,,
