,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,transgender,sky blue,#75bbfd,117,187,253,53.75%,26.09%,0.0%,0.78%,,,
1,transgender,soft pink,#fdb0c0,253,176,192,0.0%,30.43%,24.11%,0.78%,,,
2,transgender,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
