,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,pride-poc-inclusive,hotpink,#ff69b4,255,105,180,0.0%,58.82%,29.41%,0.0%,,,
1,pride-poc-inclusive,electric blue,#0652ff,6,82,255,97.65%,67.84%,0.0%,0.0%,,,
2,pride-poc-inclusive,black,#000000,0,0,0,0%,0%,0%,100%,,,
3,pride-poc-inclusive,dandelion,#fedf08,254,223,8,0.0%,12.2%,96.85%,0.39%,,,
4,pride-poc-inclusive,emerald green,#028f1e,2,143,30,98.6%,0.0%,79.02%,43.92%,,,
5,pride-poc-inclusive,red,#e50000,229,0,0,0.0%,100.0%,100.0%,10.2%,,,
6,pride-poc-inclusive,medium brown,#7f5112,127,81,18,0.0%,36.22%,85.83%,50.2%,,,
7,pride-poc-inclusive,darkorange,#ff8c00,255,140,0,0.0%,45.1%,100.0%,0.0%,,,
