,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,omnisexual,powder pink,#ffb2d0,255,178,208,0.0%,30.2%,18.43%,0.0%,,,
1,omnisexual,periwinkle blue,#8f99fb,143,153,251,43.03%,39.04%,0.0%,1.57%,,,
2,omnisexual,hotpink,#ff69b4,255,105,180,0.0%,58.82%,29.41%,0.0%,,,
3,omnisexual,dark violet,#34013f,52,1,63,17.46%,98.41%,0.0%,75.29%,,,
4,omnisexual,cornflower,#6a79f7,106,121,247,57.09%,51.01%,0.0%,3.14%,,,
