,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,genderfluid,blue blue,#2242c7,34,66,199,82.91%,66.83%,0.0%,21.96%,,,
1,genderfluid,black,#000000,0,0,0,0%,0%,0%,100%,,,
2,genderfluid,carnation pink,#ff7fa7,255,127,167,0.0%,50.2%,34.51%,0.0%,,,
3,genderfluid,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
4,genderfluid,vibrant purple,#ad03de,173,3,222,22.07%,98.65%,0.0%,12.94%,,,
