,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,original-pride,purple,#800080,128,0,128,0.0%,100.0%,0.0%,49.8%,,,
1,original-pride,darkorange,#ff8c00,255,140,0,0.0%,45.1%,100.0%,0.0%,,,
2,original-pride,hotpink,#ff69b4,255,105,180,0.0%,58.82%,29.41%,0.0%,,,
3,original-pride,indigo,#380282,56,2,130,56.92%,98.46%,0.0%,49.02%,,,
4,original-pride,turquoise blue,#06b1c4,6,177,196,96.94%,9.69%,0.0%,23.14%,,,
5,original-pride,red,#e50000,229,0,0,0.0%,100.0%,100.0%,10.2%,,,
6,original-pride,dandelion,#fedf08,254,223,8,0.0%,12.2%,96.85%,0.39%,,,
7,original-pride,emerald green,#028f1e,2,143,30,98.6%,0.0%,79.02%,43.92%,,,
