,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,mlm(7-stripe),marine blue,#01386a,1,56,106,99.06%,47.17%,0.0%,58.43%,,,
1,mlm(7-stripe),blue green,#137e6d,19,126,109,84.92%,0.0%,13.49%,50.59%,,,
2,mlm(7-stripe),greeny blue,#42b395,66,179,149,63.13%,0.0%,16.76%,29.8%,,,
3,mlm(7-stripe),water blue,#0e87cc,14,135,204,93.14%,33.82%,0.0%,20.0%,,,
4,mlm(7-stripe),sky blue,#75bbfd,117,187,253,53.75%,26.09%,0.0%,0.78%,,,
5,mlm(7-stripe),mediumturquoise,#48d1cc,72,209,204,65.55%,0.0%,2.39%,18.04%,,,
6,mlm(7-stripe),aliceblue,#f0f8ff,240,248,255,5.88%,2.75%,0.0%,0.0%,,,
