,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
0,autosexual,tab:grey,#7f7f7f,127,127,127,0.0%,0.0%,0.0%,50.2%,,,
1,autosexual,lightblue,#add8e6,173,216,230,24.78%,6.09%,0.0%,9.8%,,,
