,flag,NAME,HEX,Red,Green,Blue,Cyan,Magenta,Yellow,Black,Preview,Marker,Swatch
70,demigirl,tab:grey,#7f7f7f,127,127,127,0.0%,0.0%,0.0%,50.2%,,,
71,demigirl,silver,#c5c9c7,197,201,199,1.99%,0.0%,1.0%,21.18%,,,
72,demigirl,powder pink,#ffb2d0,255,178,208,0.0%,30.2%,18.43%,0.0%,,,
73,demigirl,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
74,demisexual,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
75,demisexual,lightgrey,#d3d3d3,211,211,211,0.0%,0.0%,0.0%,17.25%,,,
76,demisexual,black,#000000,0,0,0,0%,0%,0%,100%,,,
77,demisexual,purple,#800080,128,0,128,0.0%,100.0%,0.0%,49.8%,,,
78,genderfluid,blue blue,#2242c7,34,66,199,82.91%,66.83%,0.0%,21.96%,,,
79,genderfluid,black,#000000,0,0,0,0%,0%,0%,100%,,,
80,genderfluid,carnation pink,#ff7fa7,255,127,167,0.0%,50.2%,34.51%,0.0%,,,
81,genderfluid,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
82,genderfluid,vibrant purple,#ad03de,173,3,222,22.07%,98.65%,0.0%,12.94%,,,
83,genderqueer,pale purple,#b790d4,183,144,212,13.68%,32.08%,0.0%,16.86%,,,
84,genderqueer,sap green,#5c8b15,92,139,21,33.81%,0.0%,84.89%,45.49%,,,
85,genderqueer,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
86,gynephilia,black,#000000,0,0,0,0%,0%,0%,100%,,,
87,gynephilia,strong pink,#ff0789,255,7,137,0.0%,97.25%,46.27%,0.0%,,,
88,gynephilia,silver,#c0c0c0,192,192,192,0.0%,0.0%,0.0%,24.71%,,,
89,gynephilia,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
90,intersex,sunflower yellow,#ffda03,255,218,3,0.0%,14.51%,98.82%,0.0%,,,
91,intersex,indigo,#4b0082,75,0,130,42.31%,100.0%,0.0%,49.02%,,,
92,lesbian_wlw,tomato red,#ec2d01,236,45,1,0.0%,80.93%,99.58%,7.45%,,,
93,lesbian_wlw,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
94,lesbian_wlw,deep magenta,#a0025c,160,2,92,0.0%,98.75%,42.5%,37.25%,,,
95,lesbian_wlw,pastel orange,#ff964f,255,150,79,0.0%,41.18%,69.02%,0.0%,,,
96,lesbian_wlw,pale magenta,#d767ad,215,103,173,0.0%,52.09%,19.53%,15.69%,,,
97,lesbian_wlw,sandybrown,#f4a460,244,164,96,0.0%,32.79%,60.66%,4.31%,,,
98,lesbian_wlw,very light pink,#fff4f2,255,244,242,0.0%,4.31%,5.1%,0.0%,,,
99,lesbian(labrys),purple,#7e1e9c,126,30,156,19.23%,80.77%,0.0%,38.82%,,,
100,lesbian(labrys),black,#000000,0,0,0,0%,0%,0%,100%,,,
101,lesbian(labrys),white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
102,lesbian(labrys),almost black,#070d0d,7,13,13,46.15%,0.0%,0.0%,94.9%,,,
103,lesbian(labrys),rebeccapurple,#663399,102,51,153,33.33%,66.67%,0.0%,40.0%,,,
104,lipstick-femme,dark coral,#cf524e,207,82,78,0.0%,60.39%,62.32%,18.82%,,,
105,lipstick-femme,brick red,#8f1402,143,20,2,0.0%,86.01%,98.6%,43.92%,,,
106,lipstick-femme,deep magenta,#a0025c,160,2,92,0.0%,98.75%,42.5%,37.25%,,,
107,lipstick-femme,plum,#dda0dd,221,160,221,0.0%,27.6%,0.0%,13.33%,,,
108,lipstick-femme,linen,#faf0e6,250,240,230,0.0%,4.0%,8.0%,1.96%,,,
109,lipstick-femme,ugly purple,#a442a0,164,66,160,0.0%,59.76%,2.44%,35.69%,,,
110,lipstick-femme,purplish pink,#ce5dae,206,93,174,0.0%,54.85%,15.53%,19.22%,,,
111,lipstick-femme,watermelon,#fd4659,253,70,89,0.0%,72.33%,64.82%,0.78%,,,
112,lithromantic,darkgrey,#a9a9a9,169,169,169,0.0%,0.0%,0.0%,33.73%,,,
113,lithromantic,turtle green,#75b84f,117,184,79,36.41%,0.0%,57.07%,27.84%,,,
114,lithromantic,sun yellow,#ffdf22,255,223,34,0.0%,12.55%,86.67%,0.0%,,,
115,mlm,blue green,#137e6d,19,126,109,84.92%,0.0%,13.49%,50.59%,,,
116,mlm,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
117,mlm,indigo,#380282,56,2,130,56.92%,98.46%,0.0%,49.02%,,,
118,mlm,light teal,#90e4c1,144,228,193,36.84%,0.0%,15.35%,10.59%,,,
119,mlm,sky blue,#75bbfd,117,187,253,53.75%,26.09%,0.0%,0.78%,,,
120,mlm(7-stripe),marine blue,#01386a,1,56,106,99.06%,47.17%,0.0%,58.43%,,,
121,mlm(7-stripe),blue green,#137e6d,19,126,109,84.92%,0.0%,13.49%,50.59%,,,
122,mlm(7-stripe),greeny blue,#42b395,66,179,149,63.13%,0.0%,16.76%,29.8%,,,
123,mlm(7-stripe),water blue,#0e87cc,14,135,204,93.14%,33.82%,0.0%,20.0%,,,
124,mlm(7-stripe),sky blue,#75bbfd,117,187,253,53.75%,26.09%,0.0%,0.78%,,,
125,mlm(7-stripe),mediumturquoise,#48d1cc,72,209,204,65.55%,0.0%,2.39%,18.04%,,,
126,mlm(7-stripe),aliceblue,#f0f8ff,240,248,255,5.88%,2.75%,0.0%,0.0%,,,
127,neutrois,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
128,neutrois,black,#000000,0,0,0,0%,0%,0%,100%,,,
129,neutrois,tab:green,#2ca02c,44,160,44,72.5%,0.0%,72.5%,37.25%,,,
130,nonbinary,black,#000000,0,0,0,0%,0%,0%,100%,,,
131,nonbinary,sunshine yellow,#fffd37,255,253,55,0.0%,0.78%,78.43%,0.0%,,,
132,nonbinary,white,#ffffff,255,255,255,0.0%,0.0%,0.0%,0.0%,,,
133,nonbinary,lightish purple,#a552e6,165,82,230,28.26%,64.35%,0.0%,9.8%,,,
134,omnisexual,powder pink,#ffb2d0,255,178,208,0.0%,30.2%,18.43%,0.0%,,,
135,omnisexual,periwinkle blue,#8f99fb,143,153,251,43.03%,39.04%,0.0%,1.57%,,,
136,omnisexual,hotpink,#ff69b4,255,105,180,0.0%,58.82%,29.41%,0.0%,,,
137,omnisexual,dark violet,#34013f,52,1,63,17.46%,98.41%,0.0%,75.29%,,,
138,omnisexual,cornflower,#6a79f7,106,121,247,57.09%,51.01%,0.0%,3.14%,,,
139,original-pride,purple,#800080,128,0,128,0.0%,100.0%,0.0%,49.8%,,,
140,original-pride,darkorange,#ff8c00,255,140,0,0.0%,45.1%,100.0%,0.0%,,,
141,original-pride,hotpink,#ff69b4,255,105,180,0.0%,58.82%,29.41%,0.0%,,,
142,original-pride,indigo,#380282,56,2,130,56.92%,98.46%,0.0%,49.02%,,,
143,original-pride,turquoise blue,#06b1c4,6,177,196,96.94%,9.69%,0.0%,23.14%,,,
